Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
2,2026-05-24,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
3,2026-05-31,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
4,2026-06-07,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
5,2026-06-14,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
6,2026-06-21,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
7,2026-06-28,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
8,2026-07-05,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
9,2026-07-12,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
10,2026-07-19,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
11,2026-07-26,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
12,2026-08-02,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
13,2026-08-09,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
14,2026-08-16,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
15,2026-08-23,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
16,2026-08-30,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
17,2026-09-06,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
18,2026-09-13,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
19,2026-09-20,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
20,2026-09-27,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
21,2026-10-04,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
22,2026-10-11,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
23,2026-10-18,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
24,2026-10-25,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
25,2026-11-01,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
26,2026-11-08,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
27,2026-11-15,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
28,2026-11-22,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
29,2026-11-29,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
30,2026-12-06,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
31,2026-12-13,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
32,2026-12-20,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
33,2026-12-27,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
34,2027-01-03,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
35,2027-01-10,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
36,2027-01-17,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
37,2027-01-24,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
38,2027-01-31,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
39,2027-02-07,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
40,2027-02-14,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
41,2027-02-21,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
42,2027-02-28,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
43,2027-03-07,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
44,2027-03-14,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
45,2027-03-21,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
46,2027-03-28,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
47,2027-04-04,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
48,2027-04-11,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
49,2027-04-18,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
50,2027-04-25,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
51,2027-05-02,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
52,2027-05-09,"Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary","Mary"
