Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Lando Calrissian","Han Solo","Mary","Poe Dameron","Finn","Luke Skywalker"
2,2026-05-24,"Mace Windu","Leia Organa","Ahsoka Tano","Poe Dameron","Finn","Luke Skywalker","Lando Calrissian","Han Solo","Mary"
3,2026-05-31,"Ahsoka Tano","Mace Windu","Obi-Wan Kenobi","Mary","Padme Amidala","Rey Skywalker","Leia Organa","Cassian Andor","Han Solo"
4,2026-06-07,"Leia Organa","Obi-Wan Kenobi","Mace Windu","Luke Skywalker","Cassian Andor","Jyn Erso","Ahsoka Tano","Padme Amidala","Rey Skywalker"
5,2026-06-14,"Mace Windu","Ahsoka Tano","Anakin Skywalker","Rey Skywalker","Luke Skywalker","Mary","Obi-Wan Kenobi","Poe Dameron","Finn"
6,2026-06-21,"Obi-Wan Kenobi","Anakin Skywalker","Leia Organa","Han Solo","Mary","Luke Skywalker","Mace Windu","Rey Skywalker","Padme Amidala"
7,2026-06-28,"Mary","Leia Organa","Ahsoka Tano","Finn","Lando Calrissian","Rey Skywalker","Anakin Skywalker","Luke Skywalker","Poe Dameron"
8,2026-07-05,"Anakin Skywalker","Mace Windu","Obi-Wan Kenobi","Padme Amidala","Rey Skywalker","Jyn Erso","Poe Dameron","Mary","Lando Calrissian"
9,2026-07-12,"Ahsoka Tano","Obi-Wan Kenobi","Mace Windu","Jyn Erso","Han Solo","Poe Dameron","Lando Calrissian","Finn","Cassian Andor"
10,2026-07-19,"Leia Organa","Ahsoka Tano","Anakin Skywalker","Cassian Andor","Poe Dameron","Lando Calrissian","Mary","Han Solo","Jyn Erso"
11,2026-07-26,"Rey Skywalker","Anakin Skywalker","Mary","Lando Calrissian","Finn","Jyn Erso","Luke Skywalker","Cassian Andor","Han Solo"
12,2026-08-02,"Anakin Skywalker","Leia Organa","Luke Skywalker","Poe Dameron","Jyn Erso","Mary","Rey Skywalker","Lando Calrissian","Finn"
13,2026-08-09,"Luke Skywalker","Mace Windu","Rey Skywalker","Mary","Cassian Andor","Finn","Han Solo","Jyn Erso","Padme Amidala"
14,2026-08-16,"Jyn Erso","Obi-Wan Kenobi","Han Solo","Rey Skywalker","Padme Amidala","Luke Skywalker","Finn","Leia Organa","Mary"
15,2026-08-23,"Mace Windu","Anakin Skywalker","Finn","Luke Skywalker","Leia Organa","Rey Skywalker","Padme Amidala","Ahsoka Tano","Poe Dameron"
16,2026-08-30,"Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Finn","Mace Windu","Han Solo","Jyn Erso","Anakin Skywalker","Luke Skywalker"
