Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Ahsoka Tano","Obi-Wan Kenobi","Luke Skywalker","Han Solo","Padme Amidala","Mary","Leia Organa","Rey Skywalker","Finn"
2,2026-05-24,"Leia Organa","Obi-Wan Kenobi","Mary","Finn","Padme Amidala","Luke Skywalker","Ahsoka Tano","Rey Skywalker","Han Solo"
3,2026-05-31,"Ahsoka Tano","Leia Organa","Luke Skywalker","Padme Amidala","Han Solo","Rey Skywalker","Obi-Wan Kenobi","Mary","Finn"
4,2026-06-07,"Obi-Wan Kenobi","Ahsoka Tano","Rey Skywalker","Han Solo","Finn","Mary","Leia Organa","Luke Skywalker","Padme Amidala"
5,2026-06-14,"Leia Organa","Obi-Wan Kenobi","Mary","Finn","Padme Amidala","Luke Skywalker","Ahsoka Tano","Rey Skywalker","Han Solo"
6,2026-06-21,"Ahsoka Tano","Leia Organa","Han Solo","Padme Amidala","Finn","Rey Skywalker","Obi-Wan Kenobi","Luke Skywalker","Mary"
7,2026-06-28,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Rey Skywalker","Han Solo","Luke Skywalker","Mary","Finn","Padme Amidala"
8,2026-07-05,"Leia Organa","Ahsoka Tano","Obi-Wan Kenobi","Han Solo","Finn","Mary","Luke Skywalker","Padme Amidala","Rey Skywalker"
9,2026-07-12,"Obi-Wan Kenobi","Leia Organa","Ahsoka Tano","Mary","Han Solo","Luke Skywalker","Rey Skywalker","Padme Amidala","Finn"
10,2026-07-19,"Mary","Obi-Wan Kenobi","Leia Organa","Luke Skywalker","Finn","Rey Skywalker","Han Solo","Ahsoka Tano","Padme Amidala"
11,2026-07-26,"Luke Skywalker","Ahsoka Tano","Obi-Wan Kenobi","Padme Amidala","Rey Skywalker","Mary","Finn","Leia Organa","Han Solo"
12,2026-08-02,"Rey Skywalker","Leia Organa","Ahsoka Tano","Finn","Han Solo","Luke Skywalker","Padme Amidala","Obi-Wan Kenobi","Mary"
