Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Leia Organa","Ahsoka Tano","Obi-Wan Kenobi","Finn","Padme Amidala","Mary","Han Solo","Rey Skywalker","Luke Skywalker"
2,2026-05-24,"Ahsoka Tano","Leia Organa","Obi-Wan Kenobi","Han Solo","Padme Amidala","Luke Skywalker","Finn","Rey Skywalker","Mary"
3,2026-05-31,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Mary","Finn","Rey Skywalker","Padme Amidala","Luke Skywalker","Han Solo"
4,2026-06-07,"Leia Organa","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Han Solo","Mary","Luke Skywalker","Finn","Rey Skywalker"
5,2026-06-14,"Ahsoka Tano","Leia Organa","Mary","Rey Skywalker","Han Solo","Luke Skywalker","Obi-Wan Kenobi","Padme Amidala","Finn"
6,2026-06-21,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Luke Skywalker","Finn","Rey Skywalker","Mary","Han Solo","Padme Amidala"
7,2026-06-28,"Leia Organa","Obi-Wan Kenobi","Ahsoka Tano","Finn","Padme Amidala","Mary","Rey Skywalker","Han Solo","Luke Skywalker"
8,2026-07-05,"Ahsoka Tano","Leia Organa","Rey Skywalker","Han Solo","Finn","Luke Skywalker","Obi-Wan Kenobi","Padme Amidala","Mary"
9,2026-07-12,"Obi-Wan Kenobi","Ahsoka Tano","Luke Skywalker","Padme Amidala","Mary","Rey Skywalker","Leia Organa","Finn","Han Solo"
10,2026-07-19,"Mary","Obi-Wan Kenobi","Leia Organa","Rey Skywalker","Han Solo","Luke Skywalker","Ahsoka Tano","Padme Amidala","Finn"
11,2026-07-26,"Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Finn","Padme Amidala","Mary","Ahsoka Tano","Han Solo","Rey Skywalker"
12,2026-08-02,"Rey Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Mary","Finn","Luke Skywalker","Leia Organa","Han Solo","Padme Amidala"
13,2026-08-09,"Leia Organa","Ahsoka Tano","Han Solo","Luke Skywalker","Padme Amidala","Rey Skywalker","Obi-Wan Kenobi","Finn","Mary"
