Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
1,2026-05-17,"Ahsoka Tano","Obi-Wan Kenobi","Leia Organa","Finn","Mace Windu","Mary","Han Solo","Luke Skywalker","Poe Dameron"
2,2026-05-24,"Leia Organa","Obi-Wan Kenobi","Ahsoka Tano","Han Solo","Mace Windu","Luke Skywalker","Poe Dameron","Mary","Finn"
3,2026-05-31,"Ahsoka Tano","Leia Organa","Obi-Wan Kenobi","Poe Dameron","Finn","Rey Skywalker","Padme Amidala","Mace Windu","Han Solo"
4,2026-06-07,"Obi-Wan Kenobi","Ahsoka Tano","Mary","Padme Amidala","Finn","Luke Skywalker","Han Solo","Rey Skywalker","Mace Windu"
5,2026-06-14,"Leia Organa","Ahsoka Tano","Luke Skywalker","Mace Windu","Han Solo","Mary","Poe Dameron","Finn","Padme Amidala"
6,2026-06-21,"Obi-Wan Kenobi","Leia Organa","Han Solo","Mary","Poe Dameron","Rey Skywalker","Padme Amidala","Mace Windu","Luke Skywalker"
7,2026-06-28,"Ahsoka Tano","Obi-Wan Kenobi","Rey Skywalker","Finn","Padme Amidala","Luke Skywalker","Leia Organa","Han Solo","Mary"
8,2026-07-05,"Leia Organa","Obi-Wan Kenobi","Poe Dameron","Luke Skywalker","Mace Windu","Mary","Ahsoka Tano","Finn","Rey Skywalker"
9,2026-07-12,"Mary","Ahsoka Tano","Padme Amidala","Han Solo","Luke Skywalker","Rey Skywalker","Obi-Wan Kenobi","Mace Windu","Poe Dameron"
10,2026-07-19,"Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Rey Skywalker","Mary","Poe Dameron","Han Solo","Padme Amidala","Finn"
11,2026-07-26,"Luke Skywalker","Leia Organa","Ahsoka Tano","Padme Amidala","Rey Skywalker","Han Solo","Poe Dameron","Finn","Mace Windu"
12,2026-08-02,"Rey Skywalker","Leia Organa","Obi-Wan Kenobi","Poe Dameron","Finn","Luke Skywalker","Padme Amidala","Ahsoka Tano","Han Solo"
13,2026-08-09,"Ahsoka Tano","Obi-Wan Kenobi","Finn","Mace Windu","Leia Organa","Padme Amidala","Mary","Poe Dameron","Luke Skywalker"
14,2026-08-16,"Leia Organa","Ahsoka Tano","Mace Windu","Obi-Wan Kenobi","Han Solo","Mary","Luke Skywalker","Rey Skywalker","Padme Amidala"
15,2026-08-23,"Obi-Wan Kenobi","Leia Organa","Mary","Ahsoka Tano","Padme Amidala","Poe Dameron","Rey Skywalker","Luke Skywalker","Finn"
16,2026-08-30,"Mary","Mace Windu","Luke Skywalker","Leia Organa","Ahsoka Tano","Rey Skywalker","Finn","Obi-Wan Kenobi","Poe Dameron"
17,2026-09-06,"Luke Skywalker","Finn","Han Solo","Mary","Obi-Wan Kenobi","Padme Amidala","Mace Windu","Leia Organa","Rey Skywalker"
18,2026-09-13,"Ahsoka Tano","Obi-Wan Kenobi","Rey Skywalker","Finn","Poe Dameron","Han Solo","Leia Organa","Mace Windu","Mary"
19,2026-09-20,"Rey Skywalker","Leia Organa","Poe Dameron","Han Solo","Mary","Luke Skywalker","Ahsoka Tano","Padme Amidala","Mace Windu"
20,2026-09-27,"Leia Organa","Ahsoka Tano","Padme Amidala","Luke Skywalker","Mace Windu","Mary","Obi-Wan Kenobi","Finn","Han Solo"
21,2026-10-04,"Obi-Wan Kenobi","Mace Windu","Leia Organa","Padme Amidala","Luke Skywalker","Rey Skywalker","Han Solo","Mary","Ahsoka Tano"
22,2026-10-11,"Han Solo","Finn","Ahsoka Tano","Rey Skywalker","Obi-Wan Kenobi","Padme Amidala","Poe Dameron","Luke Skywalker","Leia Organa"
23,2026-10-18,"Finn","Leia Organa","Obi-Wan Kenobi","Mace Windu","Rey Skywalker","Poe Dameron","Padme Amidala","Han Solo","Luke Skywalker"
24,2026-10-25,"Poe Dameron","Obi-Wan Kenobi","Finn","Ahsoka Tano","Leia Organa","Han Solo","Mary","Rey Skywalker","Padme Amidala"
25,2026-11-01,"Padme Amidala","Ahsoka Tano","Mace Windu","Poe Dameron","Finn","Mary","Luke Skywalker","Leia Organa","Obi-Wan Kenobi"
26,2026-11-08,"Mace Windu","Finn","Mary","Obi-Wan Kenobi","Han Solo","Luke Skywalker","Rey Skywalker","Ahsoka Tano","Poe Dameron"
27,2026-11-15,"Mary","Mace Windu","Luke Skywalker","Leia Organa","Padme Amidala","Rey Skywalker","Finn","Poe Dameron","Han Solo"
28,2026-11-22,"Luke Skywalker","Leia Organa","Han Solo","Mary","Ahsoka Tano","Finn","Mace Windu","Obi-Wan Kenobi","Rey Skywalker"
29,2026-11-29,"Ahsoka Tano","Obi-Wan Kenobi","Rey Skywalker","Finn","Poe Dameron","Mace Windu","Leia Organa","Padme Amidala","Mary"
30,2026-12-06,"Rey Skywalker","Mary","Poe Dameron","Han Solo","Mace Windu","Padme Amidala","Ahsoka Tano","Luke Skywalker","Finn"
31,2026-12-13,"Leia Organa","Ahsoka Tano","Padme Amidala","Luke Skywalker","Mary","Poe Dameron","Obi-Wan Kenobi","Finn","Mace Windu"
32,2026-12-20,"Obi-Wan Kenobi","Luke Skywalker","Leia Organa","Padme Amidala","Rey Skywalker","Mary","Han Solo","Mace Windu","Ahsoka Tano"
33,2026-12-27,"Han Solo","Rey Skywalker","Ahsoka Tano","Mace Windu","Finn","Luke Skywalker","Poe Dameron","Mary","Padme Amidala"
34,2027-01-03,"Finn","Poe Dameron","Obi-Wan Kenobi","Rey Skywalker","Luke Skywalker","Han Solo","Padme Amidala","Ahsoka Tano","Leia Organa"
35,2027-01-10,"Poe Dameron","Han Solo","Finn","Ahsoka Tano","Obi-Wan Kenobi","Rey Skywalker","Mary","Leia Organa","Luke Skywalker"
36,2027-01-17,"Padme Amidala","Leia Organa","Mace Windu","Poe Dameron","Han Solo","Finn","Luke Skywalker","Rey Skywalker","Obi-Wan Kenobi"
37,2027-01-24,"Mace Windu","Finn","Mary","Obi-Wan Kenobi","Leia Organa","Padme Amidala","Rey Skywalker","Han Solo","Poe Dameron"
38,2027-01-31,"Mary","Padme Amidala","Luke Skywalker","Leia Organa","Ahsoka Tano","Mace Windu","Finn","Poe Dameron","Han Solo"
39,2027-02-07,"Luke Skywalker","Obi-Wan Kenobi","Han Solo","Mary","Padme Amidala","Poe Dameron","Mace Windu","Finn","Rey Skywalker"
40,2027-02-14,"Ahsoka Tano","Mace Windu","Rey Skywalker","Finn","Poe Dameron","Mary","Leia Organa","Obi-Wan Kenobi","Padme Amidala"
41,2027-02-21,"Rey Skywalker","Mary","Poe Dameron","Han Solo","Mace Windu","Luke Skywalker","Ahsoka Tano","Padme Amidala","Finn"
42,2027-02-28,"Leia Organa","Ahsoka Tano","Padme Amidala","Luke Skywalker","Rey Skywalker","Han Solo","Obi-Wan Kenobi","Mace Windu","Mary"
43,2027-03-07,"Obi-Wan Kenobi","Luke Skywalker","Leia Organa","Padme Amidala","Mary","Rey Skywalker","Han Solo","Ahsoka Tano","Mace Windu"
44,2027-03-14,"Han Solo","Rey Skywalker","Ahsoka Tano","Mace Windu","Finn","Leia Organa","Poe Dameron","Mary","Luke Skywalker"
45,2027-03-21,"Finn","Poe Dameron","Obi-Wan Kenobi","Rey Skywalker","Luke Skywalker","Ahsoka Tano","Padme Amidala","Han Solo","Leia Organa"
46,2027-03-28,"Poe Dameron","Han Solo","Finn","Ahsoka Tano","Leia Organa","Obi-Wan Kenobi","Mary","Luke Skywalker","Rey Skywalker"
47,2027-04-04,"Padme Amidala","Leia Organa","Mace Windu","Poe Dameron","Obi-Wan Kenobi","Finn","Luke Skywalker","Rey Skywalker","Ahsoka Tano"
48,2027-04-11,"Mace Windu","Finn","Mary","Obi-Wan Kenobi","Han Solo","Padme Amidala","Rey Skywalker","Leia Organa","Poe Dameron"
